LOW LEVEL PATTERN 1: 1; SIZE: 1000; THREADS: 10
LOW LEVEL PATTERN 2: 0; SIZE: 1000; THREADS: 10
LOW LEVEL PATTERN 3: 2; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 1: 0; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 2: 0; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 3: 1; SIZE: 1000; THREADS: 10

LOW LEVEL PATTERN 1: 2825; SIZE: 1000; THREADS: 10
LOW LEVEL PATTERN 2: 3430; SIZE: 1000; THREADS: 10
LOW LEVEL PATTERN 3: 969; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 1: 845; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 2: 354; SIZE: 1000; THREADS: 10
THREAD POOL PATTERN 3: 6179; SIZE: 1000; THREADS: 10

LOW LEVEL PATTERN 1: 9,493; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 3,081; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 5,263; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 549; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 844; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 291; SIZE: 1,000; THREADS: 10

LOW LEVEL PATTERN 1: 2,933; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 1,370; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 2,802; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 544; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 478; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 305; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 2,818; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 1,766; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 1,687; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 454; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 1,637; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 470; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 4,272; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 1,238; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 1,514; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 1,498; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 715; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 683; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 2,524; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 2,928; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 1,253; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 514; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 1,262; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 284; SIZE: 1,000; THREADS: 10 

LOW LEVEL PATTERN 1: 3,012; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 4,172; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 1,340; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 1: 628; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 2: 709; SIZE: 1,000; THREADS: 10 
THREAD POOL PATTERN 3: 338; SIZE: 1,000; THREADS: 10 

LOW LEVEL PATTERN 1: 3,074; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 3,035; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 3,563; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 5,403; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 2: 1,041; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 3: 733; SIZE: 1,000; THREADS: 10 
LOW LEVEL PATTERN 1: 3,679; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 1,137; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 754; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 4,393; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 2,535; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 2,847; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 3,930; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 5,645; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 2,927; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 3,043; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 7,295; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 3,061; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 8,045; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 24,615; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 1,779; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 2,604; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 4,698; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 1,542; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 3,914; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 1,698; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 3,966; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 2,269; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 3,323; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 5,055; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 3,334; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 3,249; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 1,077; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 5,333; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 1,053; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 1,092; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 2,817; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 4,258; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 867; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 3,012,275; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 1,347,833; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 7,554,855; SIZE: 1,000; THREADS: 10; TASKS: 20 

LOW LEVEL PATTERN 1: 4,023,129; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 2: 1,361,646; SIZE: 1,000; THREADS: 10; TASKS: 10 
LOW LEVEL PATTERN 3: 916,747; SIZE: 1,000; THREADS: 10; TASKS: 10 
THREAD POOL PATTERN 1: 3,830,858; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 2: 2,406,886; SIZE: 1,000; THREADS: 10; TASKS: 20 
THREAD POOL PATTERN 3: 5,524,395; SIZE: 1,000; THREADS: 10; TASKS: 20 

